# Wlen(nm) Flux Flux_err
1.923321561107253729e+03 8.914698955429958271e-01 5.199936766914171546e-03
1.923328125749608262e+03 8.849854475873152326e-01 5.171696623537956443e-03
1.923334690272486341e+03 8.881596622573235678e-01 5.184028690443139541e-03
1.923341254675884784e+03 8.830230335423083776e-01 5.199694457202817637e-03
1.923347818959799270e+03 8.816525010731388612e-01 5.156293511668019747e-03
1.923354383124226160e+03 8.854119626283466493e-01 5.165585920494521199e-03
1.923360947169160681e+03 8.751316164056079927e-01 5.148241515781764970e-03
1.923367511094599422e+03 8.779275697483928109e-01 5.187108725357278752e-03
1.923374074900538744e+03 8.741174486681411171e-01 5.161051791742651308e-03
1.923380638586973873e+03 8.720723975626771818e-01 5.130949023397062166e-03
1.923387202153901399e+03 8.698609697609943625e-01 5.152631348739005954e-03
1.923393765601317000e+03 8.658518973638670291e-01 5.165532159667562614e-03
1.923400328929217039e+03 8.661477347084010070e-01 5.125376108437875063e-03
1.923406892137597197e+03 8.642980349719238120e-01 5.111852118527682523e-03
1.923413455226453380e+03 8.560597102094655853e-01 5.075307155997387139e-03
1.923420018195782177e+03 8.591243865142876857e-01 5.095468139749125165e-03
1.923426581045579269e+03 8.619165615308417294e-01 5.148418333910927645e-03
1.923433143775840563e+03 8.601682163795902891e-01 5.127736168618760373e-03
1.923439706386562420e+03 8.558392381253383530e-01 5.092295695993077562e-03
1.923446268877740522e+03 8.507755550936859645e-01 5.087843987297499711e-03
1.923452831249371229e+03 8.432718093684308247e-01 5.071496715461761007e-03
1.923459393501450222e+03 8.400433251082486397e-01 5.096231074592894907e-03
1.923465955633973635e+03 8.373679743047558466e-01 5.091977278396104915e-03
1.923472517646937604e+03 8.347563906490589325e-01 5.099430039574237399e-03
1.923479079540338034e+03 8.229589485060861964e-01 5.027532329981277900e-03
1.923485641314170834e+03 8.159375308266039184e-01 4.972772979528813399e-03
1.923492202968432139e+03 8.156014955334159877e-01 4.998335123464085761e-03
1.923498764503118082e+03 8.104004861789397829e-01 4.990964063847898834e-03
1.923505325918224798e+03 8.018194450264252149e-01 4.967294814057377633e-03
1.923511887213747968e+03 8.024870965655537258e-01 4.953873936685919931e-03
1.923518448389683726e+03 7.956669922714607601e-01 4.951215050877686742e-03
1.923525009446028207e+03 7.931285331383421955e-01 4.935500289113704114e-03
1.923531570382777318e+03 7.868637250326770971e-01 4.886951886816445420e-03
1.923538131199926738e+03 7.848037771500011583e-01 4.891850462867750743e-03
1.923544691897473285e+03 7.793258245358154479e-01 4.904205342386888829e-03
1.923551252475412412e+03 7.796142805816548282e-01 4.916258424521962461e-03
1.923557812933740479e+03 7.657861385993184333e-01 4.858099791800392885e-03
1.923564373272453167e+03 7.582285398848656044e-01 4.829613653494515407e-03
1.923570933491546612e+03 7.549925509970782933e-01 4.810987327080446137e-03
1.923577493591017173e+03 7.547715331222957236e-01 4.797024433549181358e-03
1.923584053570860078e+03 7.392212668433607581e-01 4.738014404962907419e-03
1.923590613431072143e+03 7.299716463642300646e-01 4.704470359898183830e-03
1.923597173171649047e+03 7.183834148225687333e-01 4.681840010530321020e-03
1.923603732792586925e+03 7.128381759107476068e-01 4.705188474701885344e-03
1.923610292293881685e+03 6.973936071521625868e-01 4.648106608730589312e-03
1.923616851675529233e+03 6.777182820537053232e-01 4.613668504666760227e-03
1.923623410937525932e+03 6.541794196851806742e-01 4.475472615454363992e-03
1.923629970079867689e+03 6.362706165106555289e-01 4.423943632859461510e-03
1.923636529102550412e+03 6.110316350455380352e-01 4.360659210628550428e-03
1.923643088005570007e+03 5.931109212097026573e-01 4.265973158751567608e-03
1.923649646788923064e+03 5.855357773428655488e-01 4.260943935384044201e-03
1.923656205452605036e+03 5.845425078423392984e-01 4.257829728270995026e-03
1.923662763996611829e+03 5.941262403567205697e-01 4.307569166915941813e-03
1.923669322420940034e+03 5.883899360614601726e-01 4.277574251293110585e-03
1.923675880725585330e+03 5.831606301208848153e-01 4.241859260375151729e-03
1.923682438910543851e+03 5.906264973228529946e-01 4.274799572700048109e-03
1.923688996975811506e+03 5.762278114521597328e-01 4.213111093144351026e-03
1.923695554921384655e+03 5.628422525905039109e-01 4.142198223934302238e-03
1.923702112747258980e+03 5.526371137107999321e-01 4.118900178603010845e-03
1.923708670453430614e+03 5.380513097262416000e-01 4.061537468545049594e-03
1.923715228039895464e+03 5.219731695474456590e-01 4.021246339959242203e-03
1.923721785506649667e+03 5.000669357696340134e-01 3.912727933097915299e-03
